Training Dataset,Number of Bottlenecks,Number of Dense Layers,Number of Last Layer Parameters,Number of Highest Internal Layer Parameters,Number of Lowest Internal Layer Parameters,Number of Output Features,Number of Convolutional Layers,Origin,Number of Residual Blocks,Number of First Layer Parameters,Number of Pooling Layers,Number of Parameters,Number of Layers,Model,Number of Recurrent Layers,Number of Attention Layers,Crop Percentage,Architecture Family,Number of Normalization Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Year Made,Training Type,Primary Application,Key Distinguishing Feature,Most Common Pooling Type,Most Common Activation Function
ImageNet-1K,0.0,0.0,,,,1000,49.0,keras,10.0,,0.0,5507432,273,MobilenetV3large,0.0,0.0,,mobilenetv3,46.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Hardware-aware Network Design,"Average, Spatial Pyramid",ReLU
ImageNet-1K,0.0,0.0,,,,1000,43.0,keras,6.0,,0.0,2554968,239,MobilenetV3small,0.0,0.0,,mobilenetv3,34.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Hardware-aware Network Design,"Average, Spatial Pyramid",ReLU
ImageNet-21K,0.0,73.0,,,,1000,36.0,keras,0.0,,0.0,350196968,297,convnext_xlarge,0.0,0.0,,convnext,37.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Transformer Design Principles in ConvNet,Average,GeLU
ImageNet-1K,0.0,1.0,,,,1000,65.0,keras,9.0,,0.0,5330571,241,efficientnetb0,0.0,0.0,,efficientnet,49.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,92.0,keras,16.0,,0.0,7856239,343,efficientnetb1,0.0,0.0,,efficientnet,69.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,92.0,keras,16.0,,0.0,9177569,343,efficientnetb2,0.0,0.0,,efficientnet,69.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,104.0,keras,19.0,,0.0,12320535,388,efficientnetb3,0.0,0.0,,efficientnet,78.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,128.0,keras,25.0,,0.0,19466823,478,efficientnetb4,0.0,0.0,,efficientnet,96.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,155.0,keras,32.0,,0.0,30562527,580,efficientnetb5,0.0,0.0,,efficientnet,116.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,179.0,keras,38.0,,0.0,43265143,670,efficientnetb6,0.0,0.0,,efficientnet,134.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,218.0,keras,48.0,,0.0,66658687,817,efficientnetb7,0.0,0.0,,efficientnet,163.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,75.0,keras,15.0,,0.0,7200312,273,efficientnetv2-b0,0.0,0.0,,efficientnetv2,59.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,92.0,keras,21.0,,0.0,8212124,337,efficientnetv2-b1,0.0,0.0,,efficientnetv2,73.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,96.0,keras,22.0,,0.0,10178374,352,efficientnetv2-b2,0.0,0.0,,efficientnetv2,76.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,112.0,keras,26.0,,0.0,14467622,412,efficientnetv2-b3,0.0,0.0,,efficientnetv2,88.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,278.0,keras,73.0,,0.0,119027848,1031,efficientnetv2-l,0.0,0.0,,efficientnetv2,217.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,201.0,keras,51.0,,0.0,54431388,743,efficientnetv2-m,0.0,0.0,,efficientnetv2,157.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,140.0,keras,35.0,,0.0,21612360,516,efficientnetv2-s,0.0,0.0,,efficientnetv2,110.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average",ReLU
ImageNet-1K,0.0,0.0,,,,1000,15.0,keras,0.0,,0.0,4253864,91,mobilenet,0.0,0.0,,mobilenet,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection",Efficiency on Mobile Devices,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,35.0,keras,10.0,,0.0,3538984,156,mobilenet_v2,0.0,0.0,,mobilenet,52.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection",Efficiency on Mobile Devices,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,48.0,keras,110.0,,78.0,88949818,1041,NASNet_large,0.0,0.0,,nasnet,264.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection",Neural Architecture Search,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,36.0,keras,80.0,,60.0,5326716,771,NASNet_mobile,0.0,0.0,,nasnet,192.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection",Neural Architecture Search,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,44.0,keras,0.0,,0.0,2705640,145,regnetx002,0.0,0.0,,regnetx,44.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,71.0,keras,0.0,,0.0,5194184,235,regnetx004,0.0,0.0,,regnetx,71.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,53.0,keras,0.0,,0.0,6229320,175,regnetx006,0.0,0.0,,regnetx,53.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,53.0,keras,0.0,,0.0,7296968,175,regnetx008,0.0,0.0,,regnetx,53.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,59.0,keras,0.0,,0.0,9233640,195,regnetx016,0.0,0.0,,regnetx,59.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
