Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Attention Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Max RF,Family
MobilenetV3large,5507432,273,10,49,0,0,0,46,0,0,1000,ImageNet-1K,NA,NA,NA,mobilenetv3
MobilenetV3small,2554968,239,6,43,0,0,0,34,0,0,1000,ImageNet-1K,NA,NA,NA,mobilenetv3
convnext_base,88591464,297,0,36,73,0,0,37,0,0,1000,ImageNet-21K,NA,NA,NA,convnext
convnext_large,197767336,297,0,36,73,0,0,37,0,0,1000,ImageNet-21K,NA,NA,NA,convnext
convnext_small,50223688,297,0,36,73,0,0,37,0,0,1000,ImageNet-1K,NA,NA,NA,convnext
convnext_tiny,28589128,153,0,18,37,0,0,19,0,0,1000,ImageNet-1K,NA,NA,NA,convnext
convnext_xlarge,350196968,297,0,36,73,0,0,37,0,0,1000,ImageNet-21K,NA,NA,NA,convnext
densenet121,8062504,429,0,120,1,0,4,121,0,0,1000,ImageNet-1K,NA,NA,NA,densenet
densenet169,14307880,597,0,168,1,0,4,169,0,0,1000,ImageNet-1K,NA,NA,NA,densenet
densenet201,20242984,709,0,200,1,0,4,201,0,0,1000,ImageNet-1K,NA,NA,NA,densenet
efficientnetb0,5330571,241,9,65,1,0,0,49,0,0,1000,ImageNet-1K,NA,NA,NA,efficientnet
efficientnetb1,7856239,343,16,92,1,0,0,69,0,0,1000,ImageNet-1K,NA,NA,NA,efficientnet
efficientnetb2,9177569,343,16,92,1,0,0,69,0,0,1000,ImageNet-1K,NA,NA,NA,efficientnet
efficientnetb3,12320535,388,19,104,1,0,0,78,0,0,1000,ImageNet-1K,NA,NA,NA,efficientnet
efficientnetb4,19466823,478,25,128,1,0,0,96,0,0,1000,ImageNet-1K,NA,NA,NA,efficientnet
efficientnetb5,30562527,580,32,155,1,0,0,116,0,0,1000,ImageNet-1K,NA,NA,NA,efficientnet
efficientnetb6,43265143,670,38,179,1,0,0,134,0,0,1000,ImageNet-1K,NA,NA,NA,efficientnet
efficientnetb7,66658687,817,48,218,1,0,0,163,0,0,1000,ImageNet-1K,NA,NA,NA,efficientnet
efficientnetv2-b0,7200312,273,15,75,1,0,0,59,0,0,1000,ImageNet-1K,NA,NA,NA,efficientnetv2
efficientnetv2-b1,8212124,337,21,92,1,0,0,73,0,0,1000,ImageNet-1K,NA,NA,NA,efficientnetv2
