Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Max RF,Family
vgg19-block5-conv2-unpooling-encoder,15304768,2,NA,NA,NA,NA,NA,NA,NA,512,COCO,NA,NA,NA,vgg
vgg19-block4-conv2-unpooling-encoder,5865536,2,NA,NA,NA,NA,NA,NA,NA,512,COCO,NA,NA,NA,vgg
vgg19-block1-conv2-unpooling-encoder,38720,1,NA,NA,NA,NA,NA,NA,NA,512,COCO,NA,NA,NA,vgg
experts/bit/r50x1/in21k/tree,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/efficientnet_v2_imagenet21k_ft1k_m/feature_vector,53150388,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/mobilenet_v1_100_128/feature_vector,3228864,1,NA,NA,NA,NA,NA,NA,NA,1024,ImageNet-1K,NA,NA,NA,mobilenet
experts/bit/r50x1/in21k/part,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/efficientnet_v2_imagenet21k_ft1k_b2/feature_vector,8769374,42,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/mobilenet_v1_100_224/feature_vector,3228864,1,NA,NA,NA,NA,NA,NA,NA,1024,ImageNet-1K,NA,NA,NA,mobilenet
imagenet/mobilenet_v2_100_160/feature_vector,2257984,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,mobilenetv2
experts/bit/r50x1/in21k/whole,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/resnet_v1_152/feature_vector,58295232,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnet
experts/bit/r50x1/in21k/consumer_goods,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/efficientnet_v2_imagenet21k_ft1k_b1/feature_vector,6931124,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/mobilenet_v1_025_192/feature_vector,218544,1,NA,NA,NA,NA,NA,NA,NA,256,ImageNet-1K,NA,NA,NA,mobilenet
experts/bit/r50x1/in21k/artifact,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/resnet_v1_101/feature_vector,42605504,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnet
