SbjID,response,TrialN,CorrRes,AnsCatagory,View,Noise
adv_inception_v3,target,0,target,correct,s,n
adv_inception_v3,target,1,target,correct,s,n
adv_inception_v3,target,2,target,correct,s,n
adv_inception_v3,target,3,target,correct,s,n
adv_inception_v3,target,4,target,correct,s,n
adv_inception_v3,target,5,target,correct,s,n
adv_inception_v3,target,6,target,correct,s,n
adv_inception_v3,target,7,target,correct,s,n
adv_inception_v3,target,8,target,correct,s,n
adv_inception_v3,target,9,target,correct,s,n
adv_inception_v3,target,10,target,correct,s,n
adv_inception_v3,target,11,target,correct,s,n
adv_inception_v3,target,12,target,correct,s,n
adv_inception_v3,target,13,target,correct,s,n
adv_inception_v3,target,14,target,correct,s,n
adv_inception_v3,target,15,target,correct,s,n
adv_inception_v3,target,16,target,correct,s,n
adv_inception_v3,target,17,target,correct,s,n
adv_inception_v3,target,18,target,correct,s,y
adv_inception_v3,target,19,target,correct,s,y
adv_inception_v3,target,20,target,correct,s,y
adv_inception_v3,target,21,target,correct,s,y
adv_inception_v3,target,22,target,correct,s,y
adv_inception_v3,target,23,target,correct,s,y
adv_inception_v3,target,24,target,correct,s,n
adv_inception_v3,foil1,25,target,incorrect,d,n
adv_inception_v3,target,26,target,correct,d,n
adv_inception_v3,foil1,27,target,incorrect,d,n
adv_inception_v3,target,28,target,correct,d,n
adv_inception_v3,foil1,29,target,incorrect,d,n
adv_inception_v3,target,30,target,correct,d,n
adv_inception_v3,foil2,31,target,incorrect,d,n
adv_inception_v3,target,32,target,correct,d,n
adv_inception_v3,foil2,33,target,incorrect,d,n
adv_inception_v3,target,34,target,correct,d,n
adv_inception_v3,target,35,target,correct,d,n
adv_inception_v3,target,36,target,correct,d,y
adv_inception_v3,foil2,37,target,incorrect,d,y
adv_inception_v3,target,38,target,correct,d,y
adv_inception_v3,target,39,target,correct,d,y
adv_inception_v3,target,40,target,correct,d,y
adv_inception_v3,target,41,target,correct,d,y
adv_inception_v3,foil1,42,target,incorrect,d,y
adv_inception_v3,target,43,target,correct,d,y
adv_inception_v3,target,44,target,correct,d,y
adv_inception_v3,foil2,45,target,incorrect,d,y
adv_inception_v3,foil1,46,target,incorrect,d,y
adv_inception_v3,foil1,47,target,incorrect,d,y
bat_resnext26ts,target,0,target,correct,s,n
bat_resnext26ts,target,1,target,correct,s,n
bat_resnext26ts,target,2,target,correct,s,n
bat_resnext26ts,target,3,target,correct,s,n
bat_resnext26ts,target,4,target,correct,s,n
bat_resnext26ts,target,5,target,correct,s,n
bat_resnext26ts,target,6,target,correct,s,n
bat_resnext26ts,target,7,target,correct,s,n
bat_resnext26ts,target,8,target,correct,s,n
bat_resnext26ts,target,9,target,correct,s,n
bat_resnext26ts,target,10,target,correct,s,n
bat_resnext26ts,target,11,target,correct,s,n
bat_resnext26ts,target,12,target,correct,s,n
bat_resnext26ts,target,13,target,correct,s,n
bat_resnext26ts,target,14,target,correct,s,n
bat_resnext26ts,target,15,target,correct,s,n
bat_resnext26ts,target,16,target,correct,s,n
