SbjID,response,TrialN,CorrRes,AnsCatagory,View,Noise
adv_inception_v3,2,0,3,incorrect,d,n
adv_inception_v3,1,1,1,correct,d,n
adv_inception_v3,1,2,2,incorrect,d,n
adv_inception_v3,1,3,2,incorrect,d,n
adv_inception_v3,3,4,3,correct,d,n
adv_inception_v3,2,5,2,correct,d,n
adv_inception_v3,3,6,3,correct,d,n
adv_inception_v3,2,7,2,correct,d,n
adv_inception_v3,2,8,2,correct,d,n
adv_inception_v3,1,9,1,correct,d,n
adv_inception_v3,1,10,1,correct,d,n
adv_inception_v3,2,11,2,correct,d,n
adv_inception_v3,1,12,3,incorrect,d,y
adv_inception_v3,1,13,1,correct,d,y
adv_inception_v3,2,14,2,correct,d,y
adv_inception_v3,2,15,3,incorrect,d,y
adv_inception_v3,1,16,1,correct,d,y
adv_inception_v3,3,17,2,incorrect,d,y
adv_inception_v3,1,18,1,correct,d,y
adv_inception_v3,1,19,3,incorrect,d,y
adv_inception_v3,1,20,1,correct,d,y
adv_inception_v3,1,21,3,incorrect,d,y
adv_inception_v3,1,22,1,correct,d,n
adv_inception_v3,1,23,1,correct,d,n
adv_inception_v3,2,24,2,correct,d,n
adv_inception_v3,2,25,2,correct,d,y
adv_inception_v3,2,26,2,correct,d,n
adv_inception_v3,2,27,1,incorrect,d,n
adv_inception_v3,1,28,1,correct,d,n
adv_inception_v3,2,29,2,correct,d,n
adv_inception_v3,2,30,3,incorrect,d,y
adv_inception_v3,1,31,1,correct,d,n
adv_inception_v3,1,32,1,correct,d,n
adv_inception_v3,2,33,2,correct,d,y
adv_inception_v3,2,34,1,incorrect,d,n
adv_inception_v3,2,35,3,incorrect,d,n
adv_inception_v3,2,36,3,incorrect,d,y
adv_inception_v3,2,37,1,incorrect,d,n
adv_inception_v3,1,38,2,incorrect,d,n
adv_inception_v3,2,39,2,correct,d,n
adv_inception_v3,2,40,2,correct,d,n
adv_inception_v3,2,41,1,incorrect,d,n
adv_inception_v3,3,42,1,incorrect,d,n
adv_inception_v3,1,43,3,incorrect,d,n
adv_inception_v3,1,44,3,incorrect,d,n
bat_resnext26ts,3,0,3,correct,d,n
bat_resnext26ts,1,1,1,correct,d,n
bat_resnext26ts,2,2,2,correct,d,n
bat_resnext26ts,2,3,2,correct,d,n
bat_resnext26ts,2,4,3,incorrect,d,n
bat_resnext26ts,2,5,2,correct,d,n
bat_resnext26ts,2,6,3,incorrect,d,n
bat_resnext26ts,2,7,2,correct,d,n
bat_resnext26ts,2,8,2,correct,d,n
bat_resnext26ts,1,9,1,correct,d,n
bat_resnext26ts,1,10,1,correct,d,n
bat_resnext26ts,2,11,2,correct,d,n
bat_resnext26ts,3,12,3,correct,d,y
bat_resnext26ts,1,13,1,correct,d,y
bat_resnext26ts,2,14,2,correct,d,y
bat_resnext26ts,2,15,3,incorrect,d,y
bat_resnext26ts,1,16,1,correct,d,y
bat_resnext26ts,2,17,2,correct,d,y
bat_resnext26ts,3,18,1,incorrect,d,y
bat_resnext26ts,2,19,3,incorrect,d,y
bat_resnext26ts,1,20,1,correct,d,y
bat_resnext26ts,2,21,3,incorrect,d,y
bat_resnext26ts,1,22,1,correct,d,n
bat_resnext26ts,3,23,1,incorrect,d,n
bat_resnext26ts,2,24,2,correct,d,n
bat_resnext26ts,2,25,2,correct,d,y
bat_resnext26ts,2,26,2,correct,d,n
bat_resnext26ts,1,27,1,correct,d,n
bat_resnext26ts,1,28,1,correct,d,n
bat_resnext26ts,1,29,2,incorrect,d,n
bat_resnext26ts,2,30,3,incorrect,d,y
bat_resnext26ts,2,31,1,incorrect,d,n
bat_resnext26ts,1,32,1,correct,d,n
bat_resnext26ts,2,33,2,correct,d,y
bat_resnext26ts,1,34,1,correct,d,n
bat_resnext26ts,3,35,3,correct,d,n
bat_resnext26ts,2,36,3,incorrect,d,y
bat_resnext26ts,1,37,1,correct,d,n
bat_resnext26ts,1,38,2,incorrect,d,n
bat_resnext26ts,3,39,2,incorrect,d,n
bat_resnext26ts,3,40,2,incorrect,d,n
bat_resnext26ts,2,41,1,incorrect,d,n
bat_resnext26ts,3,42,1,incorrect,d,n
bat_resnext26ts,3,43,3,correct,d,n
bat_resnext26ts,1,44,3,incorrect,d,n
beit_base_patch16_224,3,0,3,correct,d,n
beit_base_patch16_224,1,1,1,correct,d,n
beit_base_patch16_224,1,2,2,incorrect,d,n
beit_base_patch16_224,2,3,2,correct,d,n
beit_base_patch16_224,3,4,3,correct,d,n
beit_base_patch16_224,2,5,2,correct,d,n
beit_base_patch16_224,3,6,3,correct,d,n
beit_base_patch16_224,2,7,2,correct,d,n
beit_base_patch16_224,2,8,2,correct,d,n
beit_base_patch16_224,1,9,1,correct,d,n
beit_base_patch16_224,1,10,1,correct,d,n
beit_base_patch16_224,2,11,2,correct,d,n
beit_base_patch16_224,3,12,3,correct,d,y
beit_base_patch16_224,1,13,1,correct,d,y
beit_base_patch16_224,2,14,2,correct,d,y
