SbjID,response,TrialN,CorrRes,AnsCatagory,View,Noise
adv_inception_v3,1,0,1,correct,s,n
adv_inception_v3,1,1,1,correct,s,n
adv_inception_v3,1,2,3,incorrect,s,n
adv_inception_v3,2,3,1,incorrect,s,n
adv_inception_v3,3,4,3,correct,s,n
adv_inception_v3,3,5,3,correct,s,n
adv_inception_v3,1,6,1,correct,s,n
adv_inception_v3,1,7,3,incorrect,s,n
adv_inception_v3,1,8,2,incorrect,s,n
adv_inception_v3,2,9,2,correct,s,n
adv_inception_v3,2,10,2,correct,s,n
adv_inception_v3,1,11,1,correct,d,n
adv_inception_v3,1,12,3,incorrect,d,n
adv_inception_v3,3,13,2,incorrect,d,n
adv_inception_v3,1,14,1,correct,d,n
adv_inception_v3,3,15,2,incorrect,d,n
adv_inception_v3,3,16,1,incorrect,d,n
adv_inception_v3,3,17,3,correct,d,n
adv_inception_v3,3,18,1,incorrect,d,n
adv_inception_v3,3,19,1,incorrect,d,n
adv_inception_v3,3,20,2,incorrect,d,n
adv_inception_v3,1,21,1,correct,d,n
adv_inception_v3,3,22,3,correct,d,n
adv_inception_v3,2,23,3,incorrect,d,n
adv_inception_v3,2,24,2,correct,d,n
adv_inception_v3,2,25,3,incorrect,d,n
adv_inception_v3,1,26,2,incorrect,d,n
adv_inception_v3,3,27,1,incorrect,s,y
adv_inception_v3,3,28,3,correct,s,y
adv_inception_v3,3,29,2,incorrect,s,y
adv_inception_v3,2,30,3,incorrect,s,y
adv_inception_v3,2,31,2,correct,s,y
adv_inception_v3,1,32,1,correct,s,y
adv_inception_v3,1,33,3,incorrect,s,y
adv_inception_v3,3,34,1,incorrect,s,y
adv_inception_v3,3,35,2,incorrect,s,y
adv_inception_v3,2,36,3,incorrect,s,y
adv_inception_v3,3,37,1,incorrect,s,y
adv_inception_v3,3,38,2,incorrect,s,y
adv_inception_v3,1,39,3,incorrect,d,y
adv_inception_v3,2,40,3,incorrect,d,y
adv_inception_v3,3,41,1,incorrect,d,y
adv_inception_v3,2,42,1,incorrect,d,y
adv_inception_v3,1,43,3,incorrect,d,y
adv_inception_v3,3,44,3,correct,d,y
adv_inception_v3,3,45,3,correct,d,y
adv_inception_v3,2,46,2,correct,d,y
adv_inception_v3,3,47,3,correct,d,y
adv_inception_v3,3,48,1,incorrect,d,y
adv_inception_v3,2,49,2,correct,d,y
adv_inception_v3,3,50,2,incorrect,d,y
bat_resnext26ts,1,0,1,correct,s,n
bat_resnext26ts,1,1,1,correct,s,n
bat_resnext26ts,2,2,3,incorrect,s,n
bat_resnext26ts,1,3,1,correct,s,n
bat_resnext26ts,3,4,3,correct,s,n
bat_resnext26ts,3,5,3,correct,s,n
bat_resnext26ts,3,6,1,incorrect,s,n
bat_resnext26ts,3,7,3,correct,s,n
bat_resnext26ts,2,8,2,correct,s,n
bat_resnext26ts,2,9,2,correct,s,n
bat_resnext26ts,2,10,2,correct,s,n
bat_resnext26ts,1,11,1,correct,d,n
bat_resnext26ts,1,12,3,incorrect,d,n
bat_resnext26ts,3,13,2,incorrect,d,n
bat_resnext26ts,1,14,1,correct,d,n
bat_resnext26ts,2,15,2,correct,d,n
bat_resnext26ts,1,16,1,correct,d,n
bat_resnext26ts,1,17,3,incorrect,d,n
bat_resnext26ts,1,18,1,correct,d,n
bat_resnext26ts,1,19,1,correct,d,n
bat_resnext26ts,1,20,2,incorrect,d,n
bat_resnext26ts,1,21,1,correct,d,n
bat_resnext26ts,3,22,3,correct,d,n
bat_resnext26ts,2,23,3,incorrect,d,n
bat_resnext26ts,1,24,2,incorrect,d,n
bat_resnext26ts,2,25,3,incorrect,d,n
bat_resnext26ts,2,26,2,correct,d,n
bat_resnext26ts,3,27,1,incorrect,s,y
bat_resnext26ts,2,28,3,incorrect,s,y
bat_resnext26ts,3,29,2,incorrect,s,y
bat_resnext26ts,1,30,3,incorrect,s,y
bat_resnext26ts,2,31,2,correct,s,y
bat_resnext26ts,1,32,1,correct,s,y
bat_resnext26ts,1,33,3,incorrect,s,y
bat_resnext26ts,2,34,1,incorrect,s,y
bat_resnext26ts,1,35,2,incorrect,s,y
bat_resnext26ts,2,36,3,incorrect,s,y
bat_resnext26ts,1,37,1,correct,s,y
bat_resnext26ts,3,38,2,incorrect,s,y
bat_resnext26ts,2,39,3,incorrect,d,y
bat_resnext26ts,3,40,3,correct,d,y
bat_resnext26ts,1,41,1,correct,d,y
bat_resnext26ts,2,42,1,incorrect,d,y
bat_resnext26ts,2,43,3,incorrect,d,y
bat_resnext26ts,3,44,3,correct,d,y
bat_resnext26ts,2,45,3,incorrect,d,y
bat_resnext26ts,2,46,2,correct,d,y
bat_resnext26ts,3,47,3,correct,d,y
bat_resnext26ts,1,48,1,correct,d,y
bat_resnext26ts,1,49,2,incorrect,d,y
bat_resnext26ts,2,50,2,correct,d,y
beit_base_patch16_224,1,0,1,correct,s,n
beit_base_patch16_224,1,1,1,correct,s,n
beit_base_patch16_224,3,2,3,correct,s,n
beit_base_patch16_224,1,3,1,correct,s,n
beit_base_patch16_224,3,4,3,correct,s,n
beit_base_patch16_224,2,5,3,incorrect,s,n
beit_base_patch16_224,1,6,1,correct,s,n
beit_base_patch16_224,3,7,3,correct,s,n
beit_base_patch16_224,2,8,2,correct,s,n
beit_base_patch16_224,2,9,2,correct,s,n
beit_base_patch16_224,2,10,2,correct,s,n
beit_base_patch16_224,1,11,1,correct,d,n
beit_base_patch16_224,3,12,3,correct,d,n
beit_base_patch16_224,2,13,2,correct,d,n
beit_base_patch16_224,2,14,1,incorrect,d,n
beit_base_patch16_224,3,15,2,incorrect,d,n
beit_base_patch16_224,3,16,1,incorrect,d,n
beit_base_patch16_224,3,17,3,correct,d,n
beit_base_patch16_224,1,18,1,correct,d,n
beit_base_patch16_224,1,19,1,correct,d,n
beit_base_patch16_224,2,20,2,correct,d,n
beit_base_patch16_224,2,21,1,incorrect,d,n
beit_base_patch16_224,3,22,3,correct,d,n
beit_base_patch16_224,1,23,3,incorrect,d,n
beit_base_patch16_224,2,24,2,correct,d,n
beit_base_patch16_224,3,25,3,correct,d,n
beit_base_patch16_224,2,26,2,correct,d,n
beit_base_patch16_224,3,27,1,incorrect,s,y
beit_base_patch16_224,3,28,3,correct,s,y
beit_base_patch16_224,2,29,2,correct,s,y
beit_base_patch16_224,3,30,3,correct,s,y
