"SbjID","num_classes","num_params","num_layers"
"adv_inception_v3",1000,21785568,193
"bat_resnext26ts",1000,8682200,255
"beit_base_patch16_224",1000,85761984,150
"beit_base_patch16_224_in22k",21841,85761984,150
"beit_base_patch16_384",1000,85975104,150
"beit_large_patch16_224",1000,303405568,294
"beit_large_patch16_224_in22k",21841,303405568,294
"beitv2_base_patch16_224",1000,85761984,150
"beitv2_base_patch16_224_in22k",21841,85761984,150
"beitv2_large_patch16_224",1000,303405568,294
"beitv2_large_patch16_224_in22k",21841,303405568,294
"botnet26t_256",1000,10439672,143
"cait_s24_224",1000,46531200,369
"cait_xxs24_224",1000,11763264,369
"cait_xxs24_384",1000,11836224,369
"cait_xxs36_224",1000,17106720,537
"coat_lite_mini",1000,10498560,154
"coat_lite_small",1000,19325504,282
"coat_lite_tiny",1000,5400960,154
"coat_mini",1000,10120004,355
"coat_tiny",1000,5345540,355
"coatnet_0_rw_224",1000,26666562,257
"coatnet_1_rw_224",1000,40952502,425
"coatnet_bn_0_rw_224",1000,26666562,255
"coatnet_nano_rw_224",1000,14628244,291
"coatnet_rmlp_1_rw_224",1000,40922982,507
"coatnet_rmlp_nano_rw_224",1000,14632116,334
"convit_base",1000,85771040,169
"convit_small",1000,27344322,169
"convit_tiny",1000,5517512,169
"convmixer_768_32",1000,20341248,198
"convmixer_1024_20_ks9_p14",1000,23358464,126
"convmixer_1536_20",1000,50088960,126
"convnext_atto_ols",1000,3381912,113
"convnext_base_384_in22ft1k",1000,87566464,304
"convnext_base_in22k",21841,87566464,304
"convnext_femto_ols",1000,4841520,113
"convnext_large_in22k",21841,196230336,304
"convnext_nano_ols",1000,15008560,129
"convnext_pico_ols",1000,8548928,113
"convnext_small_384_in22ft1k",1000,49454688,304
"convnext_small_in22k",21841,49454688,304
"convnext_tiny_384_in22ft1k",1000,27820128,160
"convnext_tiny_in22ft1k",1000,27820128,160
"crossvit_9_240",1000,8167296,271
"crossvit_9_dagger_240",1000,8390592,279
