ModelName,Response,Corr,Trial,Img,Target,CorrRes,FoilLevel,View,Noise,Foil1,Foil2
vgg19-block5-conv2-unpooling-encoder,1,1,1,1_nz1-4-a_1.jpg,nz1_4_a,1,1,s,n,nz1_14_a,nz1_38_a
vgg19-block5-conv2-unpooling-encoder,3,1,2,2_nz1-12-b_3.jpg,nz1_12_b,3,1,s,n,nz1_34_b,nz1_40_b
vgg19-block5-conv2-unpooling-encoder,2,1,3,3_nz1-30-a_2.jpg,nz1_30_a,2,1,s,n,nz1_67_a,nz1_61_b
vgg19-block5-conv2-unpooling-encoder,1,1,4,4_nz1-75-a_1.jpg,nz1_75_a,1,1,s,n,nz1_42_b,nz1_44_a
vgg19-block5-conv2-unpooling-encoder,2,1,5,5_nz1-70-b_2.jpg,nz1_70_b,2,1,s,n,nz1_48_a,nz1_80_b
vgg19-block5-conv2-unpooling-encoder,3,1,6,6_nz1-77-b_3.jpg,nz1_77_b,3,1,s,n,nz1_73_a,nz1_74_b
vgg19-block5-conv2-unpooling-encoder,2,1,7,7_nz1-30-a_2.jpg,nz1_30_a,2,2,s,n,nz1_10_a,nz1_16_b
vgg19-block5-conv2-unpooling-encoder,1,1,8,8_nz1-77-b_1.jpg,nz1_77_b,1,2,s,n,nz1_18_b,nz1_20_a
vgg19-block5-conv2-unpooling-encoder,2,1,9,9_nz1-70-b_2.jpg,nz1_70_b,2,2,s,n,nz1_22_b,nz1_36_b
vgg19-block5-conv2-unpooling-encoder,3,1,10,10_nz1-75-a_3.jpg,nz1_75_a,3,2,s,n,nz1_50_a,nz1_62_b
vgg19-block5-conv2-unpooling-encoder,3,1,11,11_nz1-4-a_3.jpg,nz1_4_a,3,2,s,n,nz1_66_a,ng1_72_a
vgg19-block5-conv2-unpooling-encoder,1,1,12,12_nz1-12-b_1.jpg,nz1_12_b,1,2,s,n,nz1_76_a,nz1_79_b
vgg19-block5-conv2-unpooling-encoder,3,1,13,13_nz1-4-a_3.jpg,nz1_4_a,3,3,s,n,nz1_78_a,nz1_24_b
vgg19-block5-conv2-unpooling-encoder,2,1,14,14_nz1-77-b_2.jpg,nz1_77_b,2,3,s,n,nz1_26_b,nz1_46_b
vgg19-block5-conv2-unpooling-encoder,1,0,15,15_nz1-75-a_2.jpg,nz1_75_a,2,3,s,n,nz1_24_a,nz1_52_b
vgg19-block5-conv2-unpooling-encoder,3,1,16,16_nz1-12-b_3.jpg,nz1_12_b,3,3,s,n,nz1_46_a,nz1_8_b
vgg19-block5-conv2-unpooling-encoder,1,1,17,17_nz1-70-b_1.jpg,nz1_70_b,1,3,s,n,nz1_52_a,nz1_78_b
vgg19-block5-conv2-unpooling-encoder,1,1,18,18_nz1-30-a_1.jpg,nz1_30_a,1,3,s,n,nz1_8_a,nz_26_a
vgg19-block5-conv2-unpooling-encoder,3,1,19,19_nz1-12-b_3.jpg,nz1_12_b,3,3,s,y,nz1_78_a,nz1_52_a
vgg19-block5-conv2-unpooling-encoder,3,1,20,20_nz1-30-a_3.jpg,nz1_30_a,3,3,s,y,nz1_24_b,nz1_8_a
vgg19-block5-conv2-unpooling-encoder,2,0,21,21_nz1-75-a_1.jpg,nz1_75_a,1,3,s,y,nz1_26_b,nz1_78_b
vgg19-block5-conv2-unpooling-encoder,1,0,22,22_nz1-4-a_2.jpg,nz1_4_a,2,3,s,y,nz1_46_b,nz1_8_b
vgg19-block5-conv2-unpooling-encoder,1,1,23,23_nz1-70-b_1.jpg,nz1_70_b,1,3,s,y,nz1_24_a,nz_26_a
vgg19-block5-conv2-unpooling-encoder,2,1,24,24_nz1-77-b_2.jpg,nz1_77_b,2,3,s,y,nz1_52_b,nz1_46_a
vgg19-block5-conv2-unpooling-encoder,1,1,25,25_nz1-12-a_1.jpg,nz1_12_a,1,2,d,n,nz1_16_a,nz1_20_b
vgg19-block5-conv2-unpooling-encoder,1,0,26,26_nz1-30-b_3.jpg,nz1_30_b,3,2,d,n,nz1_10_b,nz1_18_a
vgg19-block5-conv2-unpooling-encoder,2,1,27,27_nz1-77-a_2.jpg,nz1_77_a,2,2,d,n,nz1_36_a,nz1_62_a
vgg19-block5-conv2-unpooling-encoder,3,0,28,28_nz1-75-b_1.jpg,nz1_75_b,1,2,d,n,nz1_66_b,nz1_76_b
vgg19-block5-conv2-unpooling-encoder,3,1,29,29_nz1-4-b_3.jpg,nz1_4_b,3,2,d,n,nz1_22_a,nz1_50_b
vgg19-block5-conv2-unpooling-encoder,1,0,30,30_nz1-70-a_2.jpg,nz1_70_a,2,2,d,n,ng1_72_b,nz1_79_a
vgg19-block5-conv2-unpooling-encoder,1,0,31,31_nz1-12-a_2.jpg,nz1_12_a,2,3,d,n,nz1_8_a,nz1_52_a
vgg19-block5-conv2-unpooling-encoder,2,0,32,32_nz1-70-a_3.jpg,nz1_70_a,3,3,d,n,nz1_24_b,nz1_46_b
vgg19-block5-conv2-unpooling-encoder,3,0,33,33_nz1-77-a_2.jpg,nz1_77_a,2,3,d,n,nz1_78_a,nz1_26_b
vgg19-block5-conv2-unpooling-encoder,2,0,34,34_nz1-75-b_3.jpg,nz1_75_b,3,3,d,n,nz1_52_b,nz1_8_b
vgg19-block5-conv2-unpooling-encoder,1,1,35,35_nz1-4-b_1.jpg,nz1_4_b,1,3,d,n,nz1_24_a,nz1_46_a
vgg19-block5-conv2-unpooling-encoder,3,0,36,36_nz1-30-b_1.jpg,nz1_30_b,1,3,d,n,nz1_78_b,nz_26_a
vgg19-block5-conv2-unpooling-encoder,1,0,37,37_nz1-12-a_3.jpg,nz1_12_a,3,2,d,y,nz1_79_b,nz1_10_a
vgg19-block5-conv2-unpooling-encoder,2,1,38,38_nz1-70-a_2.jpg,nz1_70_a,2,2,d,y,nz1_16_b,nz1_76_a
vgg19-block5-conv2-unpooling-encoder,3,0,39,39_nz1-77-a_1.jpg,nz1_77_a,1,2,d,y,nz1_20_a,nz1_66_a
vgg19-block5-conv2-unpooling-encoder,3,0,40,40_nz1-75-b_2.jpg,nz1_75_b,2,2,d,y,nz1_18_b,ng1_72_a
vgg19-block5-conv2-unpooling-encoder,1,1,41,41_nz1-30-b_1.jpg,nz1_30_b,1,2,d,y,nz1_36_b,nz1_50_a
vgg19-block5-conv2-unpooling-encoder,2,0,42,42_nz1-4-b_3.jpg,nz1_4_b,3,2,d,y,nz1_22_b,nz1_62_b
vgg19-block5-conv2-unpooling-encoder,1,0,43,43_nz1-12-a_3.jpg,nz1_12_a,3,3,d,y,nz_26_a,nz1_52_a
vgg19-block5-conv2-unpooling-encoder,3,0,44,44_nz1-77-a_2.jpg,nz1_77_a,2,3,d,y,nz1_8_a,nz1_78_b
vgg19-block5-conv2-unpooling-encoder,1,0,45,45_nz1-4-b_3.jpg,nz1_4_b,3,3,d,y,nz1_46_b,nz1_24_a
vgg19-block5-conv2-unpooling-encoder,2,0,46,46_nz1-30-b_1.jpg,nz1_30_b,1,3,d,y,nz1_26_b,nz1_8_b
vgg19-block5-conv2-unpooling-encoder,1,1,47,47_nz1-75-b_1.jpg,nz1_75_b,1,3,d,y,nz1_24_b,nz1_46_a
vgg19-block5-conv2-unpooling-encoder,1,0,48,48_nz1-70-a_2.jpg,nz1_70_a,2,3,d,y,nz1_78_a,nz1_52_b
vgg19-block4-conv2-unpooling-encoder,1,1,1,1_nz1-4-a_1.jpg,nz1_4_a,1,1,s,n,nz1_14_a,nz1_38_a
vgg19-block4-conv2-unpooling-encoder,3,1,2,2_nz1-12-b_3.jpg,nz1_12_b,3,1,s,n,nz1_34_b,nz1_40_b
vgg19-block4-conv2-unpooling-encoder,2,1,3,3_nz1-30-a_2.jpg,nz1_30_a,2,1,s,n,nz1_67_a,nz1_61_b
vgg19-block4-conv2-unpooling-encoder,1,1,4,4_nz1-75-a_1.jpg,nz1_75_a,1,1,s,n,nz1_42_b,nz1_44_a
vgg19-block4-conv2-unpooling-encoder,2,1,5,5_nz1-70-b_2.jpg,nz1_70_b,2,1,s,n,nz1_48_a,nz1_80_b
vgg19-block4-conv2-unpooling-encoder,3,1,6,6_nz1-77-b_3.jpg,nz1_77_b,3,1,s,n,nz1_73_a,nz1_74_b
vgg19-block4-conv2-unpooling-encoder,2,1,7,7_nz1-30-a_2.jpg,nz1_30_a,2,2,s,n,nz1_10_a,nz1_16_b
vgg19-block4-conv2-unpooling-encoder,1,1,8,8_nz1-77-b_1.jpg,nz1_77_b,1,2,s,n,nz1_18_b,nz1_20_a
vgg19-block4-conv2-unpooling-encoder,2,1,9,9_nz1-70-b_2.jpg,nz1_70_b,2,2,s,n,nz1_22_b,nz1_36_b
vgg19-block4-conv2-unpooling-encoder,3,1,10,10_nz1-75-a_3.jpg,nz1_75_a,3,2,s,n,nz1_50_a,nz1_62_b
vgg19-block4-conv2-unpooling-encoder,3,1,11,11_nz1-4-a_3.jpg,nz1_4_a,3,2,s,n,nz1_66_a,ng1_72_a
vgg19-block4-conv2-unpooling-encoder,1,1,12,12_nz1-12-b_1.jpg,nz1_12_b,1,2,s,n,nz1_76_a,nz1_79_b
vgg19-block4-conv2-unpooling-encoder,3,1,13,13_nz1-4-a_3.jpg,nz1_4_a,3,3,s,n,nz1_78_a,nz1_24_b
vgg19-block4-conv2-unpooling-encoder,2,1,14,14_nz1-77-b_2.jpg,nz1_77_b,2,3,s,n,nz1_26_b,nz1_46_b
vgg19-block4-conv2-unpooling-encoder,3,0,15,15_nz1-75-a_2.jpg,nz1_75_a,2,3,s,n,nz1_24_a,nz1_52_b
vgg19-block4-conv2-unpooling-encoder,3,1,16,16_nz1-12-b_3.jpg,nz1_12_b,3,3,s,n,nz1_46_a,nz1_8_b
vgg19-block4-conv2-unpooling-encoder,1,1,17,17_nz1-70-b_1.jpg,nz1_70_b,1,3,s,n,nz1_52_a,nz1_78_b
vgg19-block4-conv2-unpooling-encoder,1,1,18,18_nz1-30-a_1.jpg,nz1_30_a,1,3,s,n,nz1_8_a,nz_26_a
vgg19-block4-conv2-unpooling-encoder,3,1,19,19_nz1-12-b_3.jpg,nz1_12_b,3,3,s,y,nz1_78_a,nz1_52_a
vgg19-block4-conv2-unpooling-encoder,3,1,20,20_nz1-30-a_3.jpg,nz1_30_a,3,3,s,y,nz1_24_b,nz1_8_a
vgg19-block4-conv2-unpooling-encoder,1,1,21,21_nz1-75-a_1.jpg,nz1_75_a,1,3,s,y,nz1_26_b,nz1_78_b
vgg19-block4-conv2-unpooling-encoder,2,1,22,22_nz1-4-a_2.jpg,nz1_4_a,2,3,s,y,nz1_46_b,nz1_8_b
vgg19-block4-conv2-unpooling-encoder,1,1,23,23_nz1-70-b_1.jpg,nz1_70_b,1,3,s,y,nz1_24_a,nz_26_a
vgg19-block4-conv2-unpooling-encoder,2,1,24,24_nz1-77-b_2.jpg,nz1_77_b,2,3,s,y,nz1_52_b,nz1_46_a
vgg19-block4-conv2-unpooling-encoder,1,1,25,25_nz1-12-a_1.jpg,nz1_12_a,1,2,d,n,nz1_16_a,nz1_20_b
vgg19-block4-conv2-unpooling-encoder,1,0,26,26_nz1-30-b_3.jpg,nz1_30_b,3,2,d,n,nz1_10_b,nz1_18_a
vgg19-block4-conv2-unpooling-encoder,1,0,27,27_nz1-77-a_2.jpg,nz1_77_a,2,2,d,n,nz1_36_a,nz1_62_a
vgg19-block4-conv2-unpooling-encoder,2,0,28,28_nz1-75-b_1.jpg,nz1_75_b,1,2,d,n,nz1_66_b,nz1_76_b
vgg19-block4-conv2-unpooling-encoder,3,1,29,29_nz1-4-b_3.jpg,nz1_4_b,3,2,d,n,nz1_22_a,nz1_50_b
vgg19-block4-conv2-unpooling-encoder,1,0,30,30_nz1-70-a_2.jpg,nz1_70_a,2,2,d,n,ng1_72_b,nz1_79_a
vgg19-block4-conv2-unpooling-encoder,1,0,31,31_nz1-12-a_2.jpg,nz1_12_a,2,3,d,n,nz1_8_a,nz1_52_a
vgg19-block4-conv2-unpooling-encoder,2,0,32,32_nz1-70-a_3.jpg,nz1_70_a,3,3,d,n,nz1_24_b,nz1_46_b
vgg19-block4-conv2-unpooling-encoder,3,0,33,33_nz1-77-a_2.jpg,nz1_77_a,2,3,d,n,nz1_78_a,nz1_26_b
vgg19-block4-conv2-unpooling-encoder,2,0,34,34_nz1-75-b_3.jpg,nz1_75_b,3,3,d,n,nz1_52_b,nz1_8_b
vgg19-block4-conv2-unpooling-encoder,1,1,35,35_nz1-4-b_1.jpg,nz1_4_b,1,3,d,n,nz1_24_a,nz1_46_a
vgg19-block4-conv2-unpooling-encoder,3,0,36,36_nz1-30-b_1.jpg,nz1_30_b,1,3,d,n,nz1_78_b,nz_26_a
vgg19-block4-conv2-unpooling-encoder,3,1,37,37_nz1-12-a_3.jpg,nz1_12_a,3,2,d,y,nz1_79_b,nz1_10_a
vgg19-block4-conv2-unpooling-encoder,2,1,38,38_nz1-70-a_2.jpg,nz1_70_a,2,2,d,y,nz1_16_b,nz1_76_a
vgg19-block4-conv2-unpooling-encoder,3,0,39,39_nz1-77-a_1.jpg,nz1_77_a,1,2,d,y,nz1_20_a,nz1_66_a
vgg19-block4-conv2-unpooling-encoder,2,1,40,40_nz1-75-b_2.jpg,nz1_75_b,2,2,d,y,nz1_18_b,ng1_72_a
vgg19-block4-conv2-unpooling-encoder,3,0,41,41_nz1-30-b_1.jpg,nz1_30_b,1,2,d,y,nz1_36_b,nz1_50_a
vgg19-block4-conv2-unpooling-encoder,3,1,42,42_nz1-4-b_3.jpg,nz1_4_b,3,2,d,y,nz1_22_b,nz1_62_b
vgg19-block4-conv2-unpooling-encoder,1,0,43,43_nz1-12-a_3.jpg,nz1_12_a,3,3,d,y,nz_26_a,nz1_52_a
vgg19-block4-conv2-unpooling-encoder,1,0,44,44_nz1-77-a_2.jpg,nz1_77_a,2,3,d,y,nz1_8_a,nz1_78_b
vgg19-block4-conv2-unpooling-encoder,3,1,45,45_nz1-4-b_3.jpg,nz1_4_b,3,3,d,y,nz1_46_b,nz1_24_a
vgg19-block4-conv2-unpooling-encoder,3,0,46,46_nz1-30-b_1.jpg,nz1_30_b,1,3,d,y,nz1_26_b,nz1_8_b
vgg19-block4-conv2-unpooling-encoder,1,1,47,47_nz1-75-b_1.jpg,nz1_75_b,1,3,d,y,nz1_24_b,nz1_46_a
vgg19-block4-conv2-unpooling-encoder,2,1,48,48_nz1-70-a_2.jpg,nz1_70_a,2,3,d,y,nz1_78_a,nz1_52_b
vgg19-block1-conv2-unpooling-encoder,1,1,1,1_nz1-4-a_1.jpg,nz1_4_a,1,1,s,n,nz1_14_a,nz1_38_a
vgg19-block1-conv2-unpooling-encoder,3,1,2,2_nz1-12-b_3.jpg,nz1_12_b,3,1,s,n,nz1_34_b,nz1_40_b
vgg19-block1-conv2-unpooling-encoder,2,1,3,3_nz1-30-a_2.jpg,nz1_30_a,2,1,s,n,nz1_67_a,nz1_61_b
vgg19-block1-conv2-unpooling-encoder,1,1,4,4_nz1-75-a_1.jpg,nz1_75_a,1,1,s,n,nz1_42_b,nz1_44_a
vgg19-block1-conv2-unpooling-encoder,2,1,5,5_nz1-70-b_2.jpg,nz1_70_b,2,1,s,n,nz1_48_a,nz1_80_b
vgg19-block1-conv2-unpooling-encoder,3,1,6,6_nz1-77-b_3.jpg,nz1_77_b,3,1,s,n,nz1_73_a,nz1_74_b
vgg19-block1-conv2-unpooling-encoder,2,1,7,7_nz1-30-a_2.jpg,nz1_30_a,2,2,s,n,nz1_10_a,nz1_16_b
vgg19-block1-conv2-unpooling-encoder,1,1,8,8_nz1-77-b_1.jpg,nz1_77_b,1,2,s,n,nz1_18_b,nz1_20_a
vgg19-block1-conv2-unpooling-encoder,2,1,9,9_nz1-70-b_2.jpg,nz1_70_b,2,2,s,n,nz1_22_b,nz1_36_b
vgg19-block1-conv2-unpooling-encoder,3,1,10,10_nz1-75-a_3.jpg,nz1_75_a,3,2,s,n,nz1_50_a,nz1_62_b
vgg19-block1-conv2-unpooling-encoder,3,1,11,11_nz1-4-a_3.jpg,nz1_4_a,3,2,s,n,nz1_66_a,ng1_72_a
vgg19-block1-conv2-unpooling-encoder,1,1,12,12_nz1-12-b_1.jpg,nz1_12_b,1,2,s,n,nz1_76_a,nz1_79_b
vgg19-block1-conv2-unpooling-encoder,3,1,13,13_nz1-4-a_3.jpg,nz1_4_a,3,3,s,n,nz1_78_a,nz1_24_b
vgg19-block1-conv2-unpooling-encoder,2,1,14,14_nz1-77-b_2.jpg,nz1_77_b,2,3,s,n,nz1_26_b,nz1_46_b
vgg19-block1-conv2-unpooling-encoder,3,0,15,15_nz1-75-a_2.jpg,nz1_75_a,2,3,s,n,nz1_24_a,nz1_52_b
vgg19-block1-conv2-unpooling-encoder,3,1,16,16_nz1-12-b_3.jpg,nz1_12_b,3,3,s,n,nz1_46_a,nz1_8_b
vgg19-block1-conv2-unpooling-encoder,1,1,17,17_nz1-70-b_1.jpg,nz1_70_b,1,3,s,n,nz1_52_a,nz1_78_b
vgg19-block1-conv2-unpooling-encoder,1,1,18,18_nz1-30-a_1.jpg,nz1_30_a,1,3,s,n,nz1_8_a,nz_26_a
vgg19-block1-conv2-unpooling-encoder,3,1,19,19_nz1-12-b_3.jpg,nz1_12_b,3,3,s,y,nz1_78_a,nz1_52_a
vgg19-block1-conv2-unpooling-encoder,3,1,20,20_nz1-30-a_3.jpg,nz1_30_a,3,3,s,y,nz1_24_b,nz1_8_a
vgg19-block1-conv2-unpooling-encoder,1,1,21,21_nz1-75-a_1.jpg,nz1_75_a,1,3,s,y,nz1_26_b,nz1_78_b
vgg19-block1-conv2-unpooling-encoder,2,1,22,22_nz1-4-a_2.jpg,nz1_4_a,2,3,s,y,nz1_46_b,nz1_8_b
vgg19-block1-conv2-unpooling-encoder,1,1,23,23_nz1-70-b_1.jpg,nz1_70_b,1,3,s,y,nz1_24_a,nz_26_a
vgg19-block1-conv2-unpooling-encoder,2,1,24,24_nz1-77-b_2.jpg,nz1_77_b,2,3,s,y,nz1_52_b,nz1_46_a
vgg19-block1-conv2-unpooling-encoder,1,1,25,25_nz1-12-a_1.jpg,nz1_12_a,1,2,d,n,nz1_16_a,nz1_20_b
vgg19-block1-conv2-unpooling-encoder,1,0,26,26_nz1-30-b_3.jpg,nz1_30_b,3,2,d,n,nz1_10_b,nz1_18_a
vgg19-block1-conv2-unpooling-encoder,2,1,27,27_nz1-77-a_2.jpg,nz1_77_a,2,2,d,n,nz1_36_a,nz1_62_a
vgg19-block1-conv2-unpooling-encoder,2,0,28,28_nz1-75-b_1.jpg,nz1_75_b,1,2,d,n,nz1_66_b,nz1_76_b
vgg19-block1-conv2-unpooling-encoder,3,1,29,29_nz1-4-b_3.jpg,nz1_4_b,3,2,d,n,nz1_22_a,nz1_50_b
vgg19-block1-conv2-unpooling-encoder,1,0,30,30_nz1-70-a_2.jpg,nz1_70_a,2,2,d,n,ng1_72_b,nz1_79_a
vgg19-block1-conv2-unpooling-encoder,2,1,31,31_nz1-12-a_2.jpg,nz1_12_a,2,3,d,n,nz1_8_a,nz1_52_a
vgg19-block1-conv2-unpooling-encoder,2,0,32,32_nz1-70-a_3.jpg,nz1_70_a,3,3,d,n,nz1_24_b,nz1_46_b
vgg19-block1-conv2-unpooling-encoder,3,0,33,33_nz1-77-a_2.jpg,nz1_77_a,2,3,d,n,nz1_78_a,nz1_26_b
vgg19-block1-conv2-unpooling-encoder,2,0,34,34_nz1-75-b_3.jpg,nz1_75_b,3,3,d,n,nz1_52_b,nz1_8_b
vgg19-block1-conv2-unpooling-encoder,1,1,35,35_nz1-4-b_1.jpg,nz1_4_b,1,3,d,n,nz1_24_a,nz1_46_a
vgg19-block1-conv2-unpooling-encoder,3,0,36,36_nz1-30-b_1.jpg,nz1_30_b,1,3,d,n,nz1_78_b,nz_26_a
vgg19-block1-conv2-unpooling-encoder,3,1,37,37_nz1-12-a_3.jpg,nz1_12_a,3,2,d,y,nz1_79_b,nz1_10_a
vgg19-block1-conv2-unpooling-encoder,1,0,38,38_nz1-70-a_2.jpg,nz1_70_a,2,2,d,y,nz1_16_b,nz1_76_a
vgg19-block1-conv2-unpooling-encoder,1,1,39,39_nz1-77-a_1.jpg,nz1_77_a,1,2,d,y,nz1_20_a,nz1_66_a
vgg19-block1-conv2-unpooling-encoder,3,0,40,40_nz1-75-b_2.jpg,nz1_75_b,2,2,d,y,nz1_18_b,ng1_72_a
vgg19-block1-conv2-unpooling-encoder,1,1,41,41_nz1-30-b_1.jpg,nz1_30_b,1,2,d,y,nz1_36_b,nz1_50_a
vgg19-block1-conv2-unpooling-encoder,3,1,42,42_nz1-4-b_3.jpg,nz1_4_b,3,2,d,y,nz1_22_b,nz1_62_b
