Last Layer Parameters,Layers,Attention Layers,Crop Percentage,Bottlenecks,Residual Blocks,Origin,First Layer Parameters,Family,Training Dataset,Pooling Layers,Normalization Layers,Output Features,Conv Layers,Recurrent Layers,Lowest Internal Layer Parameters,MAX RF,Architecture,Highest Internal Layer Parameters,Max RF,RF25 Layer Number,Model,Parameters,RF25 Layer Name,Dense Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Recurrent Layers,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Has ReLU,Has GeLU,Other,Year Made,Learning Type,Primary Application,Key Distinguishing Feature,Pooling Type
,27.3,0.0,,0.0,10.0,keras,,mobilenetv3,ImageNet-1K,0.0,46.0,1000,49.0,0.0,,,,,,,MobilenetV3large,5.507432,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Hardware-aware Network Design,"Average, Spatial Pyramid"
,23.9,0.0,,0.0,6.0,keras,,mobilenetv3,ImageNet-1K,0.0,34.0,1000,43.0,0.0,,,,,,,MobilenetV3small,2.554968,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Hardware-aware Network Design,"Average, Spatial Pyramid"
,29.7,0.0,,0.0,0.0,keras,,convnext,ImageNet-21K,0.0,37.0,1000,36.0,0.0,,,,,,,convnext_xlarge,350.196968,,73.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Transformer Design Principles in ConvNet,Average
,24.1,0.0,,0.0,9.0,keras,,efficientnet,ImageNet-1K,0.0,49.0,1000,65.0,0.0,,,,,,,efficientnetb0,5.330571,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
,34.3,0.0,,0.0,16.0,keras,,efficientnet,ImageNet-1K,0.0,69.0,1000,92.0,0.0,,,,,,,efficientnetb1,7.856239,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
,34.3,0.0,,0.0,16.0,keras,,efficientnet,ImageNet-1K,0.0,69.0,1000,92.0,0.0,,,,,,,efficientnetb2,9.177569,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
,38.8,0.0,,0.0,19.0,keras,,efficientnet,ImageNet-1K,0.0,78.0,1000,104.0,0.0,,,,,,,efficientnetb3,12.320535,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
,47.8,0.0,,0.0,25.0,keras,,efficientnet,ImageNet-1K,0.0,96.0,1000,128.0,0.0,,,,,,,efficientnetb4,19.466823,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
,58.0,0.0,,0.0,32.0,keras,,efficientnet,ImageNet-1K,0.0,116.0,1000,155.0,0.0,,,,,,,efficientnetb5,30.562527,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
,67.0,0.0,,0.0,38.0,keras,,efficientnet,ImageNet-1K,0.0,134.0,1000,179.0,0.0,,,,,,,efficientnetb6,43.265143,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
,81.7,0.0,,0.0,48.0,keras,,efficientnet,ImageNet-1K,0.0,163.0,1000,218.0,0.0,,,,,,,efficientnetb7,66.658687,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
,27.3,0.0,,0.0,15.0,keras,,efficientnetv2,ImageNet-1K,0.0,59.0,1000,75.0,0.0,,,,,,,efficientnetv2-b0,7.200312,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
,33.7,0.0,,0.0,21.0,keras,,efficientnetv2,ImageNet-1K,0.0,73.0,1000,92.0,0.0,,,,,,,efficientnetv2-b1,8.212124,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
,35.2,0.0,,0.0,22.0,keras,,efficientnetv2,ImageNet-1K,0.0,76.0,1000,96.0,0.0,,,,,,,efficientnetv2-b2,10.178374,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
,41.2,0.0,,0.0,26.0,keras,,efficientnetv2,ImageNet-1K,0.0,88.0,1000,112.0,0.0,,,,,,,efficientnetv2-b3,14.467622,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
,103.1,0.0,,0.0,73.0,keras,,efficientnetv2,ImageNet-1K,0.0,217.0,1000,278.0,0.0,,,,,,,efficientnetv2-l,119.027848,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
,74.3,0.0,,0.0,51.0,keras,,efficientnetv2,ImageNet-1K,0.0,157.0,1000,201.0,0.0,,,,,,,efficientnetv2-m,54.431388,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
,51.6,0.0,,0.0,35.0,keras,,efficientnetv2,ImageNet-1K,0.0,110.0,1000,140.0,0.0,,,,,,,efficientnetv2-s,21.61236,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
,9.1,0.0,,0.0,0.0,keras,,mobilenet,ImageNet-1K,0.0,27.0,1000,15.0,0.0,,,,,,,mobilenet,4.253864,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection",Efficiency on Mobile Devices,Average
,15.6,0.0,,0.0,10.0,keras,,mobilenet,ImageNet-1K,0.0,52.0,1000,35.0,0.0,,,,,,,mobilenet_v2,3.538984,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection",Efficiency on Mobile Devices,Average
,104.1,0.0,,0.0,110.0,keras,,nasnet,ImageNet-1K,78.0,264.0,1000,48.0,0.0,,,,,,,NASNet_large,88.949818,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection",Neural Architecture Search,"Max, Average"
,77.1,0.0,,0.0,80.0,keras,,nasnet,ImageNet-1K,60.0,192.0,1000,36.0,0.0,,,,,,,NASNet_mobile,5.326716,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection",Neural Architecture Search,"Max, Average"
