Categorical Attribute,Continuous Attribute,F-Statistic,p-value
Key Distinguishing Feature,Year Made,inf,0.0
Architecture Family,Year Made,inf,0.0
Training Dataset,Number of Output Features,3196.1623120741174,0.0
Training Dataset,Number of Last Layer Parameters,730.9592250996888,1.7716436834927816e-201
Most Common Pooling Type,Year Made,162.989920435695,9.575679460104973e-139
Most Common Activation Function,Year Made,144.55655513181188,6.308735570996693e-72
Most Common Activation Function,Number of Attention Layers,137.91350167955196,1.6102973213446883e-69
Most Common Activation Function,Number of Dense Layers,118.26313135630906,2.0415154271637e-61
Training Type,Number of Recurrent Layers,88.70578738201688,6.832240527593472e-35
Architecture Family,Number of Recurrent Layers,88.6287523951461,9.537532568666575e-280
Key Distinguishing Feature,Number of Attention Layers,76.2449251143857,4.2354705133531935e-260
Architecture Family,Number of Attention Layers,73.0144803530047,2.790794186287339e-257
Training Type,Year Made,54.37808550496605,4.98350175329793e-13
Training Type,Crop Percentage,53.11542068697119,5.492294413698782e-22
Architecture Family,Number of Dense Layers,47.504936325506584,3.4764776515869193e-209
Most Common Activation Function,Number of Convolutional Layers,45.68893823230811,7.319369964485912e-27
Key Distinguishing Feature,Number of Dense Layers,43.22530900688862,7.679066363166875e-197
Training Type,Number of Dense Layers,41.75953626945061,8.154102609533962e-18
Most Common Activation Function,Number of Normalization Layers,36.25696505453734,1.0272055731118852e-21
Most Common Pooling Type,Number of Dense Layers,32.62488726267065,2.3760379838063126e-43
Most Common Activation Function,Number of Bottlenecks,32.01746180644209,2.415438737998278e-19
Most Common Pooling Type,Number of First Layer Parameters,31.34252456807619,3.3979448340509396e-41
Primary Application,Number of Recurrent Layers,25.15480625931445,1.558660856344771e-30
Primary Application,Number of Dense Layers,23.38235913325238,1.884612923926902e-28
Most Common Activation Function,Number of Residual Blocks,22.986105843630657,3.605151281672627e-14
Origin,Number of Residual Blocks,22.889467892935333,2.4269091007825567e-10
Key Distinguishing Feature,Number of First Layer Parameters,22.066559918514468,6.157615254660095e-122
Most Common Pooling Type,Number of Recurrent Layers,21.97725720317933,8.151061837127246e-30
Most Common Activation Function,Crop Percentage,21.65187540132004,2.472425030032787e-13
Most Common Activation Function,Number of Highest Internal Layer Parameters,21.390889883655028,3.57988166066611e-13
Architecture Family,Number of First Layer Parameters,21.112118666053366,5.6382977073559545e-120
Most Common Activation Function,Number of Parameters,18.09292468746539,2.6743856258037973e-11
Most Common Pooling Type,Crop Percentage,17.997893952733005,3.2224530081016932e-24
Origin,Number of Convolutional Layers,17.395239004945118,4.320145040564497e-08
Most Common Activation Function,Number of Output Features,16.87488491963462,1.4112651414514044e-10
Most Common Pooling Type,Number of Bottlenecks,16.048363447033978,9.133710416636168e-22
Training Dataset,Number of Highest Internal Layer Parameters,15.124675208994892,1.687761512103354e-09
Origin,Number of Dense Layers,14.944873968866899,4.4724044579150644e-07
Training Type,Number of Convolutional Layers,14.821903103400977,5.031162624349768e-07
Origin,Number of Normalization Layers,13.74680479447876,1.4106796440455106e-06
Most Common Pooling Type,Number of Residual Blocks,12.916420292686306,2.2672728701826476e-17
Training Dataset,Number of Parameters,11.752613938109347,6.576909529564187e-11
Training Type,Number of Bottlenecks,11.468359766456413,1.267520682419415e-05
Most Common Pooling Type,Number of Convolutional Layers,11.126878095819112,8.024432381618716e-15
Most Common Pooling Type,Number of Attention Layers,11.103843620392396,8.657098189614494e-15
Primary Application,Crop Percentage,10.85523842064334,1.7183579966542807e-11
Key Distinguishing Feature,Crop Percentage,10.539382570924802,1.5925133618775673e-66
Architecture Family,Crop Percentage,10.479942038692998,1.765373184369195e-67
Key Distinguishing Feature,Number of Pooling Layers,10.16320628576036,1.9812362298143137e-68
Key Distinguishing Feature,Number of Residual Blocks,10.142355942939274,2.710074639721407e-68
