Architecture Family,Count
resnet,58
vit,44
xcit,40
resnext,39
swin,28
regnety,24
regnetx,24
convnext,18
deit3,15
vgg,14
mobilevitv2,13
efficientnet,13
crossvit,11
efficientnetv2,11
resmlp,11
volo,11
nfnet,11
cait,10
regnetz,10
dla,10
darknet,10
hrnet,9
nasnet,9
relpos,9
pit,8
seresnet,8
resnest,8
tresnet,8
deit,8
res2net,7
mixer,7
mixnet,7
twins,6
hardcorenas,6
coatnet,6
dpn,6
pvt_v2,6
xception,6
edgenext,5
levit,5
gcvit,5
maxvit,5
coat,5
beit,5
tinynet,5
poolformer,5
inception_v3,4
fbnet,4
mvitv2,4
rexnet,4
botnet,4
selecsls,3
mobilevit,3
lcnet,3
sequencer2d,3
regnet,3
nest,3
resnetv2,3
densenet,3
mobilenetv3,3
efficientformer,3
gernet,3
halonet,3
convmixer,3
convit,3
mobilenet,2
beitv2,2
edgenet,2
senet,2
inception_resnet,2
res2next,2
vovnet,2
visformer,1
ghostnet,1
halonext,1
botnext,1
gm,1
inception_v4,1
unet,1
skresnext,1
tnt,1
