Model,Count
xcit_tiny_24_p16_384_dist,1
MobilenetV3large,1
xcit_large_24_p8_224,1
xcit_large_24_p8_224_dist,1
xcit_large_24_p8_384_dist,1
xcit_large_24_p16_224,1
xcit_large_24_p16_224_dist,1
xcit_large_24_p16_384_dist,1
xcit_medium_24_p8_224,1
xcit_medium_24_p8_224_dist,1
wide_resnet50_2,1
wide_resnet101_2,1
xception,1
xception41,1
xception41p,1
xception65,1
xception65p,1
xception71,1
volo_d2_384,1
volo_d3_224,1
volo_d3_448,1
volo_d4_224,1
volo_d4_448,1
volo_d5_224,1
volo_d5_448,1
volo_d5_512,1
vit_tiny_patch16_224_in21k,1
vit_tiny_patch16_384,1
vit_tiny_r_s16_p8_224,1
vit_tiny_r_s16_p8_224_in21k,1
vit_tiny_r_s16_p8_384,1
volo_d1_224,1
volo_d1_384,1
volo_d2_224,1
vgg19-block4-conv2-unpooling-encoder,1
vgg19-block1-conv2-unpooling-encoder,1
adv_inception_v3,1
bat_resnext26ts,1
beit_base_patch16_224,1
beit_base_patch16_384,1
beit_large_patch16_224,1
beit_large_patch16_384,1
resnet-rs-350,1
resnet-rs-420,1
resnet-rs-50,1
resnet101v2,1
resnet152v2,1
resnet50v2,1
brain-segmentation-pytorch,1
vgg19-block5-conv2-unpooling-encoder,1
regnety080,1
regnety120,1
regnety160,1
regnety320,1
resnet-rs-101,1
resnet-rs-152,1
resnet-rs-200,1
resnet-rs-270,1
regnety002,1
regnety004,1
regnety006,1
regnety008,1
regnety016,1
regnety032,1
regnety040,1
regnety064,1
coatnet_rmlp_nano_rw_224,1
convit_base,1
convit_small,1
convit_tiny,1
convmixer_768_32,1
convmixer_1024_20_ks9_p14,1
convmixer_1536_20,1
convnext_atto_ols,1
coat_lite_tiny,1
coat_mini,1
coat_tiny,1
coatnet_0_rw_224,1
coatnet_1_rw_224,1
coatnet_bn_0_rw_224,1
coatnet_nano_rw_224,1
coatnet_rmlp_1_rw_224,1
cait_s36_384,1
cait_xs24_384,1
cait_xxs24_224,1
cait_xxs24_384,1
cait_xxs36_224,1
cait_xxs36_384,1
coat_lite_mini,1
coat_lite_small,1
beit_large_patch16_512,1
beitv2_base_patch16_224,1
beitv2_large_patch16_224,1
botnet26t_256,1
cait_m36_384,1
cait_m48_448,1
cait_s24_224,1
cait_s24_384,1
crossvit_base_240,1
crossvit_small_240,1
crossvit_tiny_240,1
cs3darknet_focus_l,1
cs3darknet_focus_m,1
cs3darknet_l,1
cs3darknet_m,1
cs3darknet_x,1
crossvit_9_240,1
crossvit_9_dagger_240,1
crossvit_15_240,1
crossvit_15_dagger_240,1
crossvit_15_dagger_408,1
crossvit_18_240,1
crossvit_18_dagger_240,1
crossvit_18_dagger_408,1
convnext_pico_ols,1
convnext_small,1
convnext_small_384_in22ft1k,1
convnext_small_in22k,1
convnext_tiny,1
convnext_tiny_384_in22ft1k,1
convnext_tiny_in22ft1k,1
convnext_xlarge_384_in22ft1k,1
convnext_base,1
convnext_base_384_in22ft1k,1
convnext_base_in22k,1
convnext_femto_ols,1
convnext_large,1
convnext_large_384_in22ft1k,1
convnext_large_in22k,1
convnext_nano_ols,1
deit_base_distilled_patch16_224,1
deit_base_distilled_patch16_384,1
deit_base_patch16_224,1
deit_base_patch16_384,1
deit_small_distilled_patch16_224,1
deit_small_patch16_224,1
deit_tiny_distilled_patch16_224,1
deit_tiny_patch16_224,1
deit3_large_patch16_224_in21ft1k,1
deit3_large_patch16_384,1
deit3_large_patch16_384_in21ft1k,1
deit3_medium_patch16_224,1
deit3_small_patch16_224,1
deit3_small_patch16_224_in21ft1k,1
deit3_small_patch16_384,1
deit3_small_patch16_384_in21ft1k,1
darknetaa53,1
deit3_base_patch16_224,1
deit3_base_patch16_224_in21ft1k,1
deit3_base_patch16_384,1
deit3_base_patch16_384_in21ft1k,1
deit3_huge_patch14_224,1
deit3_huge_patch14_224_in21ft1k,1
deit3_large_patch16_224,1
cs3edgenet_x,1
cs3se_edgenet_x,1
cs3sedarknet_l,1
cs3sedarknet_x,1
cspdarknet53,1
cspresnet50,1
cspresnext50,1
darknet53,1
dpn92,1
dpn98,1
dpn107,1
dpn131,1
eca_botnext26ts_256,1
eca_halonext26ts,1
eca_nfnet_l0,1
eca_nfnet_l1,1
dm_nfnet_f1,1
dm_nfnet_f2,1
dm_nfnet_f3,1
dm_nfnet_f4,1
dm_nfnet_f5,1
dm_nfnet_f6,1
dpn68,1
dpn68b,1
dla60_res2next,1
dla60x,1
dla60x_c,1
dla102,1
dla102x,1
dla102x2,1
dla169,1
dm_nfnet_f0,1
densenet121,1
densenet169,1
densenet201,1
dla34,1
dla46_c,1
dla46x_c,1
dla60,1
dla60_res2net,1
fbnetc_100,1
fbnetv3_b,1
fbnetv3_d,1
fbnetv3_g,1
gc_efficientnetv2_rw_t,1
gcresnet33ts,1
gcresnet50t,1
gcresnext26ts,1
efficientformer_l1,1
efficientformer_l3,1
efficientformer_l7,1
efficientnet_b4,1
efficientnetv2_rw_s,1
ens_adv_inception_resnet_v2,1
ese_vovnet19b_dw,1
ese_vovnet39b,1
ecaresnet101d_pruned,1
ecaresnet269d,1
ecaresnetlight,1
edgenext_base,1
edgenext_small,1
edgenext_small_rw,1
edgenext_x_small,1
edgenext_xx_small,1
eca_nfnet_l2,1
eca_resnet33ts,1
eca_resnext26ts,1
ecaresnet26t,1
ecaresnet50d,1
ecaresnet50d_pruned,1
ecaresnet50t,1
ecaresnet101d,1
gluon_resnet152_v1s,1
